cbsa,name,cong,adherents,pct_pop,rank_adherents,rank_pct
46900,"Vernon, TX Micro Area",1,329,2.552960347637154,850,139
49820,"Zapata, TX Micro Area",1,329,2.368781049751602,851,153
13720,"Big Stone Gap, VA Micro Area",1,328,0.8237687419946254,852,565
14720,"Breckenridge, CO Micro Area",1,327,1.0529705361455481,853,398
22820,"Fort Morgan, CO Micro Area",1,327,1.1232867301020233,854,375
44540,"Sterling, CO Micro Area",1,327,1.5189520624303232,855,254
44460,"Steamboat Springs, CO Micro Area",1,326,1.3129807885939828,856,309
10660,"Albert Lea, MN Micro Area",1,325,1.051950153746561,857,400
10820,"Alexandria, MN Micro Area",1,325,0.8332051479259601,858,556
12380,"Austin, MN Micro Area",1,325,0.8119113642609109,859,578
13420,"Bemidji, MN Micro Area",1,325,0.703037120359955,860,675
21860,"Fairmont, MN Micro Area",1,325,1.6229712858926344,861,226
24330,"Grand Rapids, MN Micro Area",1,325,0.7219976007464345,862,659
26780,"Hutchinson, MN Micro Area",1,325,0.88384868510511,863,513
32140,"Marshall, MN Micro Area",1,325,1.2861609086232142,864,314
39860,"Red Wing, MN Micro Area",1,325,0.683031398427977,865,683
48820,"Willmar, MN Micro Area",1,325,0.7431629013079667,866,640
49380,"Worthington, MN Micro Area",1,325,1.4580529385374608,867,272
47240,"Vineyard Haven, MA Micro Area",1,317,1.5388349514563107,868,251
32860,"Menomonie, WI Micro Area",1,309,0.6800176056338028,869,684
